Genotype,Timepoint,Strain,Diam
Non-minimal,Mutant,s1_ftsZ,0.459
Non-minimal,Mutant,s1_ftsZ,0.344
Non-minimal,Mutant,s1_ftsZ,0.448
Non-minimal,Mutant,s1_ftsZ,0.74
Non-minimal,Mutant,s1_ftsZ,0.818
Non-minimal,Mutant,s1_ftsZ,0.448
Non-minimal,Mutant,s1_ftsZ,0.414
Non-minimal,Mutant,s1_ftsZ,0.5
Non-minimal,Mutant,s1_ftsZ,0.542
Non-minimal,Mutant,s1_ftsZ,0.615
Non-minimal,Mutant,s1_ftsZ,0.735
Non-minimal,Mutant,s1_ftsZ,0.396
Minimal,Evolved,B_3,0.443
Minimal,Evolved,B_3,0.387
Minimal,Evolved,B_3,0.423
Minimal,Evolved,B_3,0.474
Minimal,Evolved,B_3,0.496
Minimal,Evolved,B_3,0.292
Minimal,Evolved,B_3,0.354
Minimal,Evolved,B_3,0.412
Minimal,Evolved,B_3,0.401
Minimal,Evolved,B_3,0.376
Minimal,Evolved,B_3,0.417
Minimal,Evolved,B_3,0.38
Minimal,Evolved,B_3,0.37
Minimal,Evolved,B_3,0.36
Minimal,Evolved,B_3,0.37
Minimal,Evolved,B_3,0.377
Minimal,Evolved,B_3,0.432
Minimal,Evolved,B_3,0.542
Minimal,Evolved,B_3,0.292
Minimal,Evolved,B_3,0.521
Minimal,Evolved,B_3,0.406
Minimal,Evolved,B_3,0.349
Minimal,Evolved,B_3,0.354
Minimal,Evolved,B_3,0.318
Minimal,Evolved,B_3,0.287
Minimal,Evolved,B_3,0.417
Minimal,Evolved,B_3,0.474
Minimal,Evolved,B_3,0.427
Minimal,Evolved,B_3,0.355
Minimal,Evolved,B_3,0.428
Minimal,Evolved,B_3,0.438
Minimal,Evolved,B_3,0.343
Minimal,Evolved,B_3,0.136
Minimal,Evolved,B_3,0.231
Minimal,Evolved,B_3,0.32
Minimal,Evolved,B_3,0.537
Minimal,Evolved,B_3,0.13
Minimal,Evolved,B_3,0.361
Minimal,Evolved,B_3,0.355
Minimal,Evolved,B_3,0.365
Minimal,Evolved,B_3,0.464
Non-minimal,Ancestor,s1_anc,0.427
Non-minimal,Ancestor,s1_anc,0.417
Non-minimal,Ancestor,s1_anc,0.423
Non-minimal,Ancestor,s1_anc,0.391
Non-minimal,Ancestor,s1_anc,0.45
Non-minimal,Ancestor,s1_anc,0.365
Non-minimal,Ancestor,s1_anc,0.469
Non-minimal,Ancestor,s1_anc,0.349
Non-minimal,Ancestor,s1_anc,0.729
Non-minimal,Ancestor,s1_anc,0.642
Non-minimal,Ancestor,s1_anc,0.615
Non-minimal,Ancestor,s1_anc,0.411
Non-minimal,Ancestor,s1_anc,0.386
Non-minimal,Ancestor,s1_anc,0.417
Non-minimal,Ancestor,s1_anc,0.438
Non-minimal,Ancestor,s1_anc,0.354
Non-minimal,Ancestor,s1_anc,0.443
Non-minimal,Ancestor,s1_anc,0.448
Non-minimal,Ancestor,s1_anc,0.474
Non-minimal,Ancestor,s1_anc,0.453
Non-minimal,Ancestor,s1_anc,0.127
Non-minimal,Ancestor,s1_anc,0.585
Non-minimal,Ancestor,s1_anc,0.305
Non-minimal,Ancestor,s1_anc,0.49
Non-minimal,Ancestor,s1_anc,0.459
Non-minimal,Ancestor,s1_anc,0.469
Non-minimal,Ancestor,s1_anc,0.286
Non-minimal,Ancestor,s1_anc,0.412
Non-minimal,Ancestor,s1_anc,0.495
Non-minimal,Ancestor,s1_anc,0.552
Non-minimal,Ancestor,s1_anc,0.464
Non-minimal,Ancestor,s1_anc,0.458
Non-minimal,Ancestor,s1_anc,0.172
Non-minimal,Ancestor,s1_anc,0.458
Non-minimal,Ancestor,s1_anc,0.427
Non-minimal,Ancestor,s1_anc,0.443
Non-minimal,Ancestor,s1_anc,0.448
Non-minimal,Ancestor,s1_anc,0.61
Non-minimal,Ancestor,s1_anc,0.328
Non-minimal,Ancestor,s1_anc,0.521
Non-minimal,Ancestor,s1_anc,0.646
Non-minimal,Ancestor,s1_anc,0.313
Non-minimal,Ancestor,s1_anc,0.558
Non-minimal,Ancestor,s1_anc,0.428
Non-minimal,Ancestor,s1_anc,0.406
Non-minimal,Ancestor,s1_anc,0.542
Non-minimal,Ancestor,s1_anc,0.453
Non-minimal,Ancestor,s1_anc,0.511
Non-minimal,Ancestor,s1_anc,0.427
Non-minimal,Ancestor,s1_anc,0.427
Non-minimal,Ancestor,s1_anc,0.464
Non-minimal,Ancestor,s1_anc,0.37
Non-minimal,Ancestor,s1_anc,0.333
Non-minimal,Ancestor,s1_anc,0.458
Non-minimal,Ancestor,s1_anc,0.469
Non-minimal,Ancestor,s1_anc,0.334
Non-minimal,Ancestor,s1_anc,0.396
Non-minimal,Ancestor,s1_anc,0.443
Non-minimal,Ancestor,s1_anc,0.438
Non-minimal,Ancestor,s1_anc,0.386
Non-minimal,Ancestor,s1_anc,0.417
Non-minimal,Ancestor,s1_anc,0.407
