Genotype,Timepoint,Strain,Diam
Wildtype,Evolved,s1_6,0.636
Wildtype,Evolved,s1_6,0.839
Wildtype,Evolved,s1_6,0.693
Wildtype,Evolved,s1_6,0.484
Wildtype,Evolved,s1_6,0.552
Wildtype,Evolved,s1_6,0.688
Wildtype,Evolved,s1_6,0.531
Wildtype,Evolved,s1_3,0.48
Wildtype,Evolved,s1_3,0.458
Wildtype,Evolved,s1_3,0.537
Wildtype,Evolved,s1_3,0.583
Wildtype,Evolved,s1_3,0.568
Wildtype,Evolved,s1_3,0.536
Wildtype,Evolved,s1_3,0.599
Wildtype,Evolved,s1_3,0.458
Wildtype,Evolved,s1_3,0.438
Wildtype,Evolved,s1_3,0.474
Wildtype,Evolved,s1_3,0.448
Wildtype,Evolved,s1_3,0.557
Wildtype,Evolved,s1_3,0.354
Wildtype,Evolved,s1_3,0.573
Wildtype,Evolved,s1_3,0.552
Wildtype,Evolved,s1_3,0.578
Wildtype,Evolved,s1_3,0.323
Wildtype,Evolved,s1_3,0.458
Wildtype,Evolved,s1_3,0.531
Wildtype,Evolved,s1_3,0.511
Wildtype,Evolved,s1_3,0.438
Wildtype,Evolved,s1_3,0.635
Wildtype,Evolved,s1_3,0.339
Wildtype,Evolved,s1_3,0.505
Wildtype,Evolved,s1_3,1.057
Wildtype,Evolved,s1_3,0.511
Wildtype,Evolved,s1_3,0.329
Wildtype,Evolved,s1_3,0.594
Wildtype,Evolved,s1_3,0.537
Wildtype,Evolved,s1_3,0.609
Wildtype,Evolved,s1_3,0.724
Wildtype,Evolved,s1_3,0.438
Wildtype,Evolved,s1_3,0.49
Wildtype,Evolved,s1_3,0.365
Wildtype,Evolved,s1_3,0.432
Wildtype,Evolved,s1_3,0.578
Wildtype,Evolved,s1_3,0.662
Wildtype,Evolved,s1_3,0.552
Wildtype,Evolved,s1_3,0.885
Wildtype,Evolved,s1_3,0.844
Wildtype,Evolved,s1_3,0.261
Wildtype,Evolved,s1_3,0.448
Wildtype,Evolved,s1_3,0.453
Wildtype,Evolved,s1_3,0.594
Wildtype,Evolved,s1_3,0.427
Wildtype,Evolved,s1_3,0.438
Wildtype,Evolved,s1_3,0.479
Wildtype,Evolved,s1_3,0.615
Wildtype,Evolved,s1_3,0.276
Wildtype,Evolved,s1_3,0.516
Wildtype,Evolved,s1_3,0.521
Wildtype,Evolved,s1_3,0.484
Wildtype,Evolved,s1_3,0.625
Wildtype,Evolved,s1_3,0.5
Wildtype,Evolved,s1_3,0.609
Wildtype,Evolved,s1_3,0.631
Minimal,Evolved,B_2,0.203
Minimal,Evolved,B_2,0.406
Minimal,Evolved,B_2,0.36
Minimal,Evolved,B_2,0.13
Minimal,Evolved,B_2,0.307
Minimal,Evolved,B_2,0.184
Minimal,Evolved,B_2,0.282
Minimal,Evolved,B_2,0.344
Minimal,Evolved,B_2,0.261
Minimal,Evolved,B_2,0.318
Minimal,Evolved,B_2,0.333
Minimal,Evolved,B_2,0.365
Minimal,Evolved,B_2,0.5
Minimal,Evolved,B_2,0.365
Minimal,Evolved,B_2,0.323
Minimal,Evolved,B_2,0.313
Minimal,Evolved,B_2,0.349
Minimal,Evolved,B_2,0.328
Minimal,Evolved,B_2,0.157
Minimal,Evolved,B_2,0.299
Minimal,Evolved,B_2,0.417
Minimal,Evolved,B_2,0.391
Minimal,Evolved,B_2,0.339
Minimal,Evolved,B_2,0.328
Minimal,Evolved,B_2,0.359
Minimal,Evolved,B_2,0.583
Minimal,Evolved,B_2,0.276
Minimal,Evolved,B_2,0.24
Minimal,Evolved,B_2,0.194
Minimal,Evolved,B_2,0.37
Minimal,Evolved,B_2,0.101
Minimal,Evolved,B_2,0.448
Minimal,Evolved,B_2,0.23
Minimal,Evolved,B_2,0.349
Minimal,Evolved,B_2,0.406
Minimal,Evolved,B_2,0.354
Minimal,Evolved,B_2,0.183
Minimal,Evolved,B_2,0.391
Minimal,Evolved,B_2,0.308
Minimal,Evolved,B_2,0.245
Minimal,Evolved,B_2,0.13
Minimal,Evolved,B_2,0.208
Minimal,Evolved,B_2,0.125
Minimal,Mutant,B_ftsZ,0.312
Minimal,Mutant,B_ftsZ,0.26
Minimal,Mutant,B_ftsZ,0.177
Minimal,Mutant,B_ftsZ,0.312
Minimal,Mutant,B_ftsZ,0.359
Minimal,Mutant,B_ftsZ,0.298
Minimal,Mutant,B_ftsZ,0.396
Minimal,Mutant,B_ftsZ,0.302
Minimal,Mutant,B_ftsZ,0.432
Minimal,Mutant,B_ftsZ,0.234
Minimal,Mutant,B_ftsZ,0.25
Minimal,Mutant,B_ftsZ,0.208
Minimal,Mutant,B_ftsZ,0.245
Minimal,Mutant,B_ftsZ,0.172
Minimal,Mutant,B_ftsZ,0.411
Minimal,Mutant,B_ftsZ,0.297
Minimal,Mutant,B_ftsZ,0.224
Minimal,Mutant,B_ftsZ,0.146
Minimal,Mutant,B_ftsZ,0.132
Minimal,Mutant,B_ftsZ,0.141
Minimal,Mutant,B_ftsZ,0.162
Minimal,Mutant,B_ftsZ,0.307
Minimal,Mutant,B_ftsZ,0.169
Minimal,Mutant,B_ftsZ,0.271
Minimal,Mutant,B_ftsZ,0.167
Minimal,Mutant,B_ftsZ,0.272
Minimal,Mutant,B_ftsZ,0.214
Minimal,Mutant,B_ftsZ,0.125
Minimal,Mutant,B_ftsZ,0.255
Minimal,Mutant,B_ftsZ,0.15
Minimal,Mutant,B_ftsZ,0.132
Minimal,Mutant,B_ftsZ,0.268
Minimal,Mutant,B_ftsZ,0.422
Minimal,Mutant,B_ftsZ,0.318
Minimal,Mutant,B_ftsZ,0.255
Minimal,Mutant,B_ftsZ,0.354
Minimal,Mutant,B_ftsZ,0.164
Minimal,Mutant,B_ftsZ,0.188
Minimal,Mutant,B_ftsZ,0.183
Minimal,Mutant,B_ftsZ,0.276
Minimal,Mutant,B_ftsZ,0.344
Minimal,Mutant,B_ftsZ,0.24
Minimal,Mutant,B_ftsZ,0.211
Minimal,Mutant,B_ftsZ,0.344
Minimal,Mutant,B_ftsZ,0.245
Minimal,Mutant,B_ftsZ,0.12
Minimal,Mutant,B_ftsZ,0.151
Minimal,Mutant,B_ftsZ,0.271
Minimal,Mutant,B_ftsZ,0.163
Minimal,Mutant,B_ftsZ,0.276
Minimal,Ancestor,B_anc,0.266
Minimal,Ancestor,B_anc,0.172
Minimal,Ancestor,B_anc,0.229
Minimal,Ancestor,B_anc,0.266
Minimal,Ancestor,B_anc,0.224
Minimal,Ancestor,B_anc,0.132
Minimal,Ancestor,B_anc,0.474
Minimal,Ancestor,B_anc,0.24
Minimal,Ancestor,B_anc,0.161
Minimal,Ancestor,B_anc,0.453
Minimal,Ancestor,B_anc,0.412
Minimal,Ancestor,B_anc,0.115
Minimal,Ancestor,B_anc,0.322
Minimal,Ancestor,B_anc,0.183
Minimal,Ancestor,B_anc,0.157
Minimal,Ancestor,B_anc,0.407
Minimal,Ancestor,B_anc,0.152
Minimal,Ancestor,B_anc,0.137
Minimal,Ancestor,B_anc,0.417
Minimal,Ancestor,B_anc,0.174
Minimal,Ancestor,B_anc,0.13
Minimal,Ancestor,B_anc,0.499
Minimal,Ancestor,B_anc,0.307
Minimal,Ancestor,B_anc,0.178
Minimal,Ancestor,B_anc,0.458
Minimal,Ancestor,B_anc,0.219
Minimal,Ancestor,B_anc,0.14
Minimal,Ancestor,B_anc,0.167
Minimal,Ancestor,B_anc,0.385
Minimal,Ancestor,B_anc,0.292
Minimal,Ancestor,B_anc,0.146
Minimal,Ancestor,B_anc,0.169
Minimal,Ancestor,B_anc,0.25
Minimal,Ancestor,B_anc,0.173
Minimal,Ancestor,B_anc,0.292
Minimal,Ancestor,B_anc,0.276
Minimal,Ancestor,B_anc,0.271
Minimal,Ancestor,B_anc,0.313
Minimal,Ancestor,B_anc,0.458
Minimal,Ancestor,B_anc,0.26
Minimal,Ancestor,B_anc,0.292
Minimal,Ancestor,B_anc,0.292
Minimal,Ancestor,B_anc,0.287
Minimal,Ancestor,B_anc,0.375
Minimal,Ancestor,B_anc,0.276
Minimal,Ancestor,B_anc,0.37
Minimal,Ancestor,B_anc,0.313
Minimal,Ancestor,B_anc,0.318
Minimal,Ancestor,B_anc,0.396
Minimal,Ancestor,B_anc,0.393
Minimal,Ancestor,B_anc,0.344
Minimal,Ancestor,B_anc,0.209
Minimal,Ancestor,B_anc,0.234
Minimal,Ancestor,B_anc,0.146
Minimal,Ancestor,B_anc,0.533
Minimal,Ancestor,B_anc,0.439
Minimal,Ancestor,B_anc,0.522
Minimal,Ancestor,B_anc,0.38
Minimal,Ancestor,B_anc,0.579
Minimal,Ancestor,B_anc,0.417
Minimal,Ancestor,B_anc,0.318
Minimal,Ancestor,B_anc,0.386
Minimal,Ancestor,B_anc,0.35
Minimal,Ancestor,B_anc,0.453
Minimal,Ancestor,B_anc,0.151
Minimal,Ancestor,B_anc,0.307
Minimal,Ancestor,B_anc,0.396
Minimal,Ancestor,B_anc,0.432
Minimal,Ancestor,B_anc,0.271
Minimal,Ancestor,B_anc,0.427
Minimal,Ancestor,B_anc,0.375
Minimal,Ancestor,B_anc,0.281
Minimal,Ancestor,B_anc,0.292
Minimal,Ancestor,B_anc,0.458
Minimal,Ancestor,B_anc,0.38
Wildtype,Evolved,s1_4,0.87
Wildtype,Evolved,s1_4,0.615
Wildtype,Evolved,s1_4,0.792
Wildtype,Evolved,s1_4,0.703
Wildtype,Evolved,s1_4,0.698
Wildtype,Evolved,s1_4,0.742
Wildtype,Evolved,s1_4,0.49
Wildtype,Evolved,s1_4,0.682
Wildtype,Evolved,s1_4,0.615
Wildtype,Evolved,s1_4,0.641
Wildtype,Evolved,s1_4,0.672
Wildtype,Evolved,s1_4,0.594
Wildtype,Evolved,s1_4,0.781
Wildtype,Evolved,s1_4,0.746
Wildtype,Evolved,s1_4,0.552
Wildtype,Evolved,s1_4,0.615
Wildtype,Evolved,s1_4,0.693
Wildtype,Evolved,s1_4,0.656
Wildtype,Evolved,s1_4,0.725
Wildtype,Evolved,s1_4,0.558
Wildtype,Evolved,s1_4,0.891
Wildtype,Evolved,s1_4,0.547
Wildtype,Evolved,s1_4,0.771
Wildtype,Evolved,s1_4,0.646
Wildtype,Evolved,s1_4,0.667
Wildtype,Evolved,s1_4,0.703
Wildtype,Evolved,s1_4,0.839
Wildtype,Evolved,s1_4,0.781
Wildtype,Evolved,s1_4,0.615
Wildtype,Evolved,s1_4,0.824
Wildtype,Evolved,s1_4,1.458
Wildtype,Evolved,s1_4,1.188
Wildtype,Evolved,s1_4,1.553
Wildtype,Evolved,s1_4,1.626
Wildtype,Evolved,s1_4,1.472
Wildtype,Evolved,s1_4,0.865
Wildtype,Evolved,s1_4,1.552
Wildtype,Evolved,s1_4,1.615
Wildtype,Evolved,s1_4,1.708
Wildtype,Evolved,s1_4,0.917
Wildtype,Evolved,s1_4,0.908
Wildtype,Evolved,s1_4,1.605
Wildtype,Evolved,s1_4,1.563
Wildtype,Evolved,s1_4,2.229
Wildtype,Evolved,s1_4,1.615
Wildtype,Evolved,s1_4,1.438
Wildtype,Evolved,s1_4,1.188
Wildtype,Evolved,s1_4,1.573
Wildtype,Evolved,s1_4,1.771
Wildtype,Evolved,s1_4,1.844
Wildtype,Evolved,s1_4,1.417
Wildtype,Evolved,s1_4,2.042
Wildtype,Evolved,s1_4,1.167
Wildtype,Evolved,s1_4,1.209
Wildtype,Evolved,s1_4,1.188
Wildtype,Evolved,s1_4,2.333
Wildtype,Evolved,s1_4,2.146
Wildtype,Evolved,s1_4,1.828
Wildtype,Evolved,s1_4,1.834
Wildtype,Evolved,s1_4,1
Wildtype,Evolved,s1_4,1.36
Wildtype,Evolved,s1_4,1.959
Wildtype,Evolved,s1_4,1.849
Wildtype,Evolved,s1_4,2.12
Wildtype,Evolved,s1_4,0.948
Wildtype,Evolved,s1_4,1.714
Wildtype,Evolved,s1_4,0.833
Wildtype,Evolved,s1_4,1.229
Wildtype,Evolved,s1_4,0.906
Wildtype,Evolved,s1_4,1.083
Wildtype,Evolved,s1_4,0.969
Wildtype,Evolved,s1_4,1.135
Wildtype,Evolved,s1_4,0.98
Wildtype,Evolved,s1_4,1.302
Wildtype,Evolved,s1_4,0.782
Wildtype,Evolved,s1_4,0.938
Wildtype,Mutant,s1_ftsZ,0.432
Wildtype,Mutant,s1_ftsZ,0.349
Wildtype,Mutant,s1_ftsZ,0.453
Wildtype,Mutant,s1_ftsZ,0.558
Wildtype,Mutant,s1_ftsZ,0.594
Wildtype,Mutant,s1_ftsZ,0.557
Wildtype,Mutant,s1_ftsZ,0.75
Wildtype,Mutant,s1_ftsZ,0.599
Wildtype,Mutant,s1_ftsZ,0.677
Wildtype,Mutant,s1_ftsZ,0.63
Wildtype,Mutant,s1_ftsZ,0.703
Wildtype,Mutant,s1_ftsZ,0.609
Wildtype,Mutant,s1_ftsZ,0.589
Wildtype,Mutant,s1_ftsZ,0.562
Wildtype,Mutant,s1_ftsZ,0.615
Wildtype,Mutant,s1_ftsZ,0.464
Wildtype,Mutant,s1_ftsZ,0.61
Wildtype,Mutant,s1_ftsZ,0.401
Wildtype,Mutant,s1_ftsZ,0.484
Wildtype,Mutant,s1_ftsZ,0.552
Wildtype,Mutant,s1_ftsZ,0.547
Wildtype,Mutant,s1_ftsZ,0.448
Wildtype,Mutant,s1_ftsZ,0.307
Wildtype,Mutant,s1_ftsZ,0.599
Wildtype,Mutant,s1_ftsZ,0.469
Wildtype,Mutant,s1_ftsZ,0.469
Wildtype,Mutant,s1_ftsZ,0.444
Wildtype,Mutant,s1_ftsZ,0.661
Wildtype,Mutant,s1_ftsZ,0.432
Wildtype,Mutant,s1_ftsZ,0.578
Wildtype,Mutant,s1_ftsZ,0.573
Wildtype,Mutant,s1_ftsZ,0.495
Wildtype,Mutant,s1_ftsZ,0.438
Wildtype,Mutant,s1_ftsZ,0.849
Wildtype,Mutant,s1_ftsZ,0.698
Wildtype,Mutant,s1_ftsZ,0.5
Wildtype,Mutant,s1_ftsZ,0.688
Wildtype,Mutant,s1_ftsZ,0.495
Wildtype,Mutant,s1_ftsZ,0.646
Wildtype,Mutant,s1_ftsZ,0.442
Wildtype,Mutant,s1_ftsZ,0.5
Wildtype,Mutant,s1_ftsZ,0.599
Wildtype,Mutant,s1_ftsZ,0.674
Wildtype,Mutant,s1_ftsZ,0.625
Wildtype,Mutant,s1_ftsZ,0.526
Wildtype,Mutant,s1_ftsZ,0.542
Wildtype,Mutant,s1_ftsZ,0.459
Wildtype,Mutant,s1_ftsZ,0.344
Wildtype,Mutant,s1_ftsZ,0.448
Wildtype,Mutant,s1_ftsZ,0.74
Wildtype,Mutant,s1_ftsZ,0.818
Wildtype,Mutant,s1_ftsZ,0.448
Wildtype,Mutant,s1_ftsZ,0.414
Wildtype,Mutant,s1_ftsZ,0.5
Wildtype,Mutant,s1_ftsZ,0.542
Wildtype,Mutant,s1_ftsZ,0.615
Wildtype,Mutant,s1_ftsZ,0.735
Wildtype,Mutant,s1_ftsZ,0.396
Minimal,Evolved,B_3,0.443
Minimal,Evolved,B_3,0.387
Minimal,Evolved,B_3,0.423
Minimal,Evolved,B_3,0.474
Minimal,Evolved,B_3,0.496
Minimal,Evolved,B_3,0.292
Minimal,Evolved,B_3,0.354
Minimal,Evolved,B_3,0.412
Minimal,Evolved,B_3,0.401
Minimal,Evolved,B_3,0.376
Minimal,Evolved,B_3,0.417
Minimal,Evolved,B_3,0.38
Minimal,Evolved,B_3,0.37
Minimal,Evolved,B_3,0.36
Minimal,Evolved,B_3,0.37
Minimal,Evolved,B_3,0.377
Minimal,Evolved,B_3,0.432
Minimal,Evolved,B_3,0.542
Minimal,Evolved,B_3,0.292
Minimal,Evolved,B_3,0.521
Minimal,Evolved,B_3,0.406
Minimal,Evolved,B_3,0.349
Minimal,Evolved,B_3,0.354
Minimal,Evolved,B_3,0.318
Minimal,Evolved,B_3,0.287
Minimal,Evolved,B_3,0.417
Minimal,Evolved,B_3,0.474
Minimal,Evolved,B_3,0.427
Minimal,Evolved,B_3,0.355
Minimal,Evolved,B_3,0.428
Minimal,Evolved,B_3,0.438
Minimal,Evolved,B_3,0.343
Minimal,Evolved,B_3,0.136
Minimal,Evolved,B_3,0.231
Minimal,Evolved,B_3,0.32
Minimal,Evolved,B_3,0.537
Minimal,Evolved,B_3,0.13
Minimal,Evolved,B_3,0.361
Minimal,Evolved,B_3,0.355
Minimal,Evolved,B_3,0.365
Minimal,Evolved,B_3,0.464
Wildtype,Ancestor,s1_anc,0.427
Wildtype,Ancestor,s1_anc,0.417
Wildtype,Ancestor,s1_anc,0.423
Wildtype,Ancestor,s1_anc,0.391
Wildtype,Ancestor,s1_anc,0.45
Wildtype,Ancestor,s1_anc,0.365
Wildtype,Ancestor,s1_anc,0.469
Wildtype,Ancestor,s1_anc,0.349
Wildtype,Ancestor,s1_anc,0.729
Wildtype,Ancestor,s1_anc,0.642
Wildtype,Ancestor,s1_anc,0.615
Wildtype,Ancestor,s1_anc,0.411
Wildtype,Ancestor,s1_anc,0.386
Wildtype,Ancestor,s1_anc,0.417
Wildtype,Ancestor,s1_anc,0.438
Wildtype,Ancestor,s1_anc,0.354
Wildtype,Ancestor,s1_anc,0.443
Wildtype,Ancestor,s1_anc,0.448
Wildtype,Ancestor,s1_anc,0.474
Wildtype,Ancestor,s1_anc,0.453
Wildtype,Ancestor,s1_anc,0.127
Wildtype,Ancestor,s1_anc,0.585
Wildtype,Ancestor,s1_anc,0.305
Wildtype,Ancestor,s1_anc,0.49
Wildtype,Ancestor,s1_anc,0.459
Wildtype,Ancestor,s1_anc,0.469
Wildtype,Ancestor,s1_anc,0.286
Wildtype,Ancestor,s1_anc,0.412
Wildtype,Ancestor,s1_anc,0.495
Wildtype,Ancestor,s1_anc,0.552
Wildtype,Ancestor,s1_anc,0.464
Wildtype,Ancestor,s1_anc,0.458
Wildtype,Ancestor,s1_anc,0.172
Wildtype,Ancestor,s1_anc,0.458
Wildtype,Ancestor,s1_anc,0.427
Wildtype,Ancestor,s1_anc,0.443
Wildtype,Ancestor,s1_anc,0.448
Wildtype,Ancestor,s1_anc,0.61
Wildtype,Ancestor,s1_anc,0.328
Wildtype,Ancestor,s1_anc,0.521
Wildtype,Ancestor,s1_anc,0.646
Wildtype,Ancestor,s1_anc,0.313
Wildtype,Ancestor,s1_anc,0.558
Wildtype,Ancestor,s1_anc,0.428
Wildtype,Ancestor,s1_anc,0.406
Wildtype,Ancestor,s1_anc,0.542
Wildtype,Ancestor,s1_anc,0.453
Wildtype,Ancestor,s1_anc,0.511
Wildtype,Ancestor,s1_anc,0.427
Wildtype,Ancestor,s1_anc,0.427
Wildtype,Ancestor,s1_anc,0.464
Wildtype,Ancestor,s1_anc,0.37
Wildtype,Ancestor,s1_anc,0.333
Wildtype,Ancestor,s1_anc,0.458
Wildtype,Ancestor,s1_anc,0.469
Wildtype,Ancestor,s1_anc,0.334
Wildtype,Ancestor,s1_anc,0.396
Wildtype,Ancestor,s1_anc,0.443
Wildtype,Ancestor,s1_anc,0.438
Wildtype,Ancestor,s1_anc,0.386
Wildtype,Ancestor,s1_anc,0.417
Wildtype,Ancestor,s1_anc,0.407
